id_cliente;nome;email;sexo;cpf;data_nasc
1;Sebastiana Tânia Mendes;sebastiana_tania_mendes@trbvm.com;Feminino;938.319.088-42;06/01/1984
2;Andrea Débora Campos;andrea-campos75@caporal.biz;Feminino;782.328.538-08;06/01/1943
3;Rosa Jéssica Isis Barros;rosa.jessica.barros@optovac.com.br;Feminino;129.102.618-59;04/02/1970
4;Vinicius Carlos Eduardo da Rocha;viniciuscarlosdarocha@carreira.com.br;Masculino;437.270.578-66;22/06/1969
5;Cecília Milena Elisa Vieira;cecilia-vieira98@amure.com.br;Feminino;726.017.228-27;07/09/1948
6;Caleb Calebe Pires;caleb.calebe.pires@zipmail.com;Masculino;753.753.238-93;22/08/1947
7;Heitor Eduardo Renan da Paz;heitor-dapaz70@likaleal.com.br;Masculino;376.136.258-77;09/06/1998
8;Noah Kaique Davi Oliveira;noahkaiqueoliveira@konekoshouten.com.br;Masculino;864.014.138-08;06/05/1957
9;Theo Arthur Roberto Nogueira;theoarthurnogueira@haldex.com;Masculino;829.469.878-41;09/08/1959
10;Cláudio Francisco Pedro Henrique da Silva;claudio_dasilva@trimempresas.com.br;Masculino;744.572.568-70;14/02/1959
11;Esther Lívia Caldeira;esther_livia_caldeira@picolotoengenharia.com.br;Feminino;680.683.358-62;09/02/1982
12;Lívia Maria Mariana Pinto;livia-pinto88@pelozo.com.br;Feminino;092.442.238-64;26/08/1953
13;Augusto Vicente Breno Moreira;augusto-moreira95@bat.com;Masculino;809.853.988-17;06/05/1942
14;Filipe Marcos Bento Drumond;filipe.marcos.drumond@techs.com.br;Masculino;593.712.178-39;02/09/1984
15;Renato Vicente Antonio Freitas;renato_vicente_freitas@yahoo.es;Masculino;937.514.788-68;09/04/1944
16;Severino Carlos Eduardo Nunes;severino.carlos.nunes@comercialrafael.com.br;Masculino;263.278.428-01;26/06/1956
17;Emilly Marlene Gabrielly Silva;emilly_marlene_silva@lajescobre.com;Feminino;998.757.908-69;04/02/1946
18;Andrea Benedita Emanuelly Galvão;andrea_benedita_galvao@bol.com.br;Feminino;262.206.288-53;27/07/1957
19;Elias Gael da Conceição;elias_gael_daconceicao@baptistas.com.br;Masculino;229.153.488-20;21/02/1954
20;Eliane Simone Isabelle Aparício;eliane-aparicio93@hawk.com.br;Feminino;291.151.378-99;25/06/1947
21;Isaac Nelson Calebe Rezende;isaac.nelson.rezende@cafefrossard.com;Masculino;086.729.468-04;01/04/1982
22;Luan Lucca Roberto Martins;luan_martins@icloud.con;Masculino;622.212.078-40;25/03/1995
23;Igor Diogo Calebe da Costa;igor.diogo.dacosta@googlemail.com;Masculino;016.845.768-73;04/09/1996
24;Oliver Noah Fernando Bernardes;oliver.noah.bernardes@mpc.com.br;Masculino;779.521.108-96;27/07/1955
25;Elias Fábio Osvaldo Baptista;elias-baptista97@br.atlascopco.com;Masculino;723.359.928-99;22/07/1976
26;João Enrico Lima;joao_lima@girocenter.com.br;Masculino;731.049.928-00;17/03/1996
27;Samuel Anthony Costa;samuelanthonycosta@skyzepp.com;Masculino;054.132.818-20;16/08/1980
28;Lorena Stefany Pereira;lorena-pereira96@truran.com.br;Feminino;361.895.678-94;01/09/1973
29;Rebeca Lara Dias;rebeca-dias87@acesse.net;Feminino;743.681.938-06;08/08/1964
30;Noah Murilo Victor Ferreira;noah_murilo_ferreira@athos.srv.br;Masculino;996.220.748-71;02/08/1966
